Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
12351,-0.0266,-0.0362,0.0043,-0.17626953,-0.18847656,-0.97216797,622.42,416.38,-189.58
12371,-0.0436,-0.0511,0.0117,-0.17919922,-0.19140625,-0.97705078,618.07,418.88,-198.75
12391,-0.0192,-0.0394,0.0032,-0.17724609,-0.20214844,-0.98535156,608.12,393.12,-194.18
12411,-0.0149,-0.0351,0.0074,-0.17480469,-0.19970703,-0.9765625,621.24,398.66,-186.18
12431,-0.0064,-0.0287,0.0043,-0.18554688,-0.19824219,-0.98632812,604.8,418.89,-205.22
12451,0,-0.0383,0.0043,-0.16894531,-0.20605469,-0.98779297,621.3,410.37,-204.43
12471,-0.0096,-0.0415,0.0106,-0.16992188,-0.20361328,-0.98681641,611.05,402.36,-203.23
12491,-0.0192,-0.0372,0.0085,-0.17431641,-0.20117188,-0.98925781,614.03,410.17,-213.65
12511,-0.0234,-0.0309,0.0053,-0.17626953,-0.203125,-0.96923828,606.48,401.36,-195.2
12531,-0.0202,-0.0266,0.0053,-0.18115234,-0.19628906,-0.98876953,631.6,407.76,-195.34
12551,-0.0106,-0.0341,0.0053,-0.18554688,-0.19921875,-0.98339844,597.52,406.89,-198.88
12571,-0.0117,-0.0415,0.0085,-0.17871094,-0.20410156,-0.98876953,609.54,401.11,-200.58
12591,-0.0064,-0.0415,0.0096,-0.17578125,-0.20166016,-0.98535156,617.13,391.43,-198.37
12611,-0.0149,-0.0383,0.0074,-0.18212891,-0.20361328,-0.98925781,609.32,405.53,-192.43
12631,-0.0138,-0.0341,0.0106,-0.18310547,-0.20068359,-0.98291016,614.01,398.37,-198.08
12651,-0.0128,-0.0319,0.0074,-0.17578125,-0.19238281,-0.98925781,615.2,409.5,-193.71
12671,-0.0394,-0.0394,0.0043,-0.1796875,-0.20117188,-0.99121094,597.51,402.96,-193.68
12691,-0.0138,-0.0372,0.0064,-0.17626953,-0.20361328,-0.99072266,626.95,421.41,-200.12
12711,0.0011,-0.0309,0.0096,-0.1875,-0.1953125,-0.97314453,622.71,402.62,-190.06
12731,-0.0117,-0.0426,0.0064,-0.17382812,-0.20507812,-0.96533203,630.28,406.12,-203.37
12751,-0.0096,-0.0287,0.0074,-0.17382812,-0.19628906,-0.99023438,616.89,405.09,-200.55
12771,-0.0245,-0.0458,0.0106,-0.16845703,-0.20947266,-0.98193359,615.29,409.3,-199.05
12791,-0.033,-0.0319,0.0106,-0.18212891,-0.20410156,-0.98242188,627.44,400.62,-204.86
12811,-0.033,-0.0351,0.0085,-0.17089844,-0.20410156,-0.97558594,624.4,400.82,-200.81
