Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
30265,-0.79,2.01,-0.43,-0.39,0.16,-0.92,27.91,44.26,-60.47
30295,-0.79,2.01,-0.37,-0.39,0.15,-0.94,27.91,42.16,-59.71
30324,-0.79,1.95,-0.43,-0.39,0.14,-0.95,28.06,42.61,-58.96
30354,-0.79,2.01,-0.43,-0.39,0.14,-0.94,28.06,43.36,-60.02
30384,-0.79,2.01,-0.37,-0.39,0.15,-0.94,29.11,43.06,-59.56
30413,-0.73,2.01,-0.37,-0.38,0.15,-0.94,29.86,44.11,-60.02
30443,-0.79,2.01,-0.43,-0.39,0.14,-0.94,27.61,42.91,-58.66
30473,-0.79,1.95,-0.43,-0.39,0.14,-0.94,30.31,43.06,-61.07
30507,-0.79,2.01,-0.43,-0.38,0.15,-0.96,29.41,44.26,-60.47
30537,-0.79,1.89,-0.43,-0.39,0.15,-0.94,28.06,43.81,-60.02
30585,-0.79,2.01,-0.43,-0.39,0.15,-0.95,27.91,43.51,-59.71
30615,-0.79,1.95,-0.43,-0.39,0.14,-0.94,29.56,43.81,-59.56
30644,-0.73,1.95,-0.49,-0.4,0.15,-0.95,28.66,43.21,-57.76
30675,-0.79,1.95,-0.37,-0.4,0.15,-0.95,29.41,42.46,-59.41
30703,-0.79,1.95,-0.37,-0.39,0.15,-0.93,27.76,42.01,-58.51
30735,-0.79,1.95,-0.43,-0.38,0.15,-0.93,27.91,42.46,-60.17
30764,-0.79,1.95,-0.37,-0.39,0.15,-0.95,28.96,44.26,-58.36
30792,-0.73,1.95,-0.43,-0.39,0.14,-0.93,28.81,43.36,-61.67
30821,-0.73,2.01,-0.37,-0.39,0.15,-0.93,28.51,44.41,-60.32
30849,-0.73,2.01,-0.37,-0.4,0.15,-0.94,28.21,43.21,-59.11
30878,-0.73,1.95,-0.49,-0.39,0.15,-0.93,28.51,44.11,-60.02
30906,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.81,44.86,-59.26
30935,-0.79,2.01,-0.37,-0.4,0.14,-0.94,27.31,43.81,-59.56
30967,-0.79,1.95,-0.37,-0.39,0.15,-0.93,28.66,42.91,-59.11
30995,-0.79,1.95,-0.37,-0.39,0.14,-0.94,28.06,43.81,-59.56
31024,-0.73,1.95,-0.43,-0.39,0.15,-0.93,28.21,43.96,-59.71
31052,-0.79,2.01,-0.43,-0.38,0.15,-0.93,27.91,41.71,-60.47
31081,-0.79,1.95,-0.43,-0.39,0.15,-0.94,27.76,42.61,-59.56
31109,-0.79,1.95,-0.37,-0.39,0.15,-0.95,27.91,44.26,-60.47
31138,-0.85,1.95,-0.43,-0.39,0.15,-0.94,27.61,43.51,-60.17
31169,-0.79,1.95,-0.37,-0.39,0.15,-0.94,28.96,43.51,-58.36
31198,-0.79,2.01,-0.37,-0.38,0.16,-0.94,28.81,43.81,-60.02
31226,-0.79,1.95,-0.37,-0.39,0.15,-0.95,27.31,43.06,-60.32
31255,-0.79,1.95,-0.43,-0.38,0.15,-0.95,28.06,43.36,-59.26
31283,-0.73,2.01,-0.43,-0.39,0.14,-0.95,30.31,42.61,-58.51
