Timestamp,Yaw,Pitch,Roll
6509614,-25.7,-0.0,-0.0
6509639,-25.4,-0.0,-0.0
6509664,-25.1,-0.4,-0.1
6509689,-23.1,-1.8,-7.1
6509714,-21.1,-3.1,-13.6
6509739,-18.9,-5.2,-20.0
6509764,-16.7,-7.0,-26.0
6509789,-14.2,-8.3,-32.1
6509814,-11.9,-9.1,-37.4
6509839,-9.8,-9.9,-42.2
6509864,-10.5,-10.7,-46.6
6509889,-11.8,-11.5,-50.4
6509914,-13.0,-12.3,-53.9
6509939,-13.9,-12.8,-57.2
6509964,-14.8,-12.9,-60.2
6509989,-15.7,-13.1,-63.2
6510014,-17.1,-13.6,-65.4
6510039,-18.6,-13.9,-67.2
6510064,-20.0,-14.1,-69.1
6510089,-21.2,-14.2,-70.7
6510114,-22.4,-14.4,-71.9
6510139,-23.9,-15.0,-73.1
6510164,-25.4,-15.3,-74.1
6510189,-26.6,-15.2,-75.1
6510214,-27.9,-15.1,-76.1
6510239,-29.2,-15.3,-76.9
6510264,-30.6,-15.7,-77.7
6510289,-32.0,-15.8,-78.2
6510314,-33.3,-15.6,-78.5
6510339,-34.7,-15.3,-78.6
6510364,-36.0,-15.1,-79.1
6510389,-37.3,-15.1,-79.6
6510414,-38.6,-15.0,-79.8
6510439,-40.1,-14.9,-79.6
6510464,-41.5,-14.9,-79.8
6510489,-42.8,-14.9,-80.5
6510514,-44.0,-14.9,-81.0
6510539,-45.3,-15.0,-81.2
6510564,-46.6,-15.0,-81.2
6510589,-48.0,-15.2,-81.4
6510614,-50.6,-16.1,-81.7
6510639,-52.7,-17.9,-81.2
6510664,-53.7,-18.8,-80.2
6510689,-54.5,-18.4,-79.8
6510714,-55.3,-17.8,-80.0
6510739,-56.3,-17.4,-80.0
6510764,-57.3,-16.7,-80.1
6510789,-58.4,-16.0,-80.1
6510814,-59.4,-15.6,-80.4
6510839,-60.4,-15.7,-80.6
6510864,-61.5,-15.8,-80.6
6510889,-62.6,-15.4,-80.2
6510914,-63.9,-15.1,-79.6
6510939,-64.9,-15.1,-79.6
6510964,-65.7,-15.2,-80.1
6510989,-66.6,-15.3,-80.3
6511014,-67.5,-15.3,-80.1
6511039,-68.5,-15.2,-79.8
6511064,-69.5,-15.2,-79.7
6511089,-70.2,-15.5,-80.2
6511114,-71.0,-15.8,-80.7
6511139,-71.8,-15.9,-80.6
6511164,-72.5,-15.7,-80.4
6511189,-73.2,-15.3,-80.2
6511214,-74.0,-15.0,-80.2
6511239,-74.8,-15.1,-80.3
6511264,-75.6,-15.2,-80.0
6511289,-76.2,-15.2,-80.0
6511314,-76.7,-15.1,-80.2
6511339,-77.2,-15.3,-80.5
6511364,-77.7,-15.6,-80.7
6511389,-78.3,-15.6,-80.2
6511414,-79.0,-15.3,-79.9
6511439,-79.7,-14.9,-79.5
6511464,-80.8,-14.3,-78.8
6511489,-81.6,-14.4,-78.9
6511514,-82.3,-14.7,-79.3
6511539,-82.8,-15.1,-80.2
6511564,-83.0,-15.5,-81.5
6511589,-83.0,-16.4,-83.6
6511614,-83.5,-15.5,-83.1
6511639,-84.1,-15.0,-82.5
6511664,-84.7,-14.6,-81.7
6511689,-85.3,-14.2,-80.9
6511714,-85.8,-13.9,-80.5
6511739,-86.4,-13.8,-80.1
6511764,-86.8,-14.1,-80.0
6511789,-87.3,-14.5,-79.9
6511814,-87.8,-14.7,-80.1
6511839,-88.2,-14.8,-80.1
6511864,-88.6,-14.9,-80.3
6511889,-88.7,-15.2,-80.9
6511914,-88.9,-15.7,-81.5
6511939,-89.0,-16.2,-81.7
6511964,-89.1,-16.2,-81.7
6511989,-89.2,-15.9,-81.6
6512014,-89.2,-15.9,-81.9
6512039,-89.2,-16.0,-82.2
6512064,-89.2,-15.3,-82.2
6512089,-89.1,-14.6,-82.6
6512114,-89.0,-14.5,-82.9
6512139,-89.3,-14.5,-82.9
6512164,-89.6,-14.6,-83.0
6512189,-90.1,-14.5,-82.7
6512214,-90.5,-14.2,-82.2
6512239,-91.1,-13.8,-81.7
6512264,-91.6,-13.5,-81.5
6512289,-92.0,-13.3,-81.9
6512314,-92.3,-13.4,-82.2
6512339,-92.5,-13.4,-82.3
6512364,-92.9,-13.3,-82.2
6512389,-93.3,-13.5,-82.3
