Timestamp,Yaw,Pitch,Roll
6509614,-171.8,6.0,114.3
6509639,-172.6,3.1,116.3
6509664,-170.9,2.4,114.7
6509689,-169.1,1.9,113.1
6509714,-167.4,1.3,111.8
6509739,-165.6,0.8,110.7
6509764,-163.8,0.5,109.7
6509789,-162.0,0.1,108.8
6509814,-160.3,-0.2,108.2
6509839,-158.5,-0.5,107.7
6509864,-156.8,-0.9,107.4
6509889,-155.2,-1.1,107.1
6509914,-153.4,-1.2,106.7
6509939,-151.8,-1.5,106.5
6509964,-150.1,-1.7,106.2
6509989,-148.4,-1.9,106.0
6510014,-146.8,-2.0,105.8
6510039,-145.2,-2.0,105.6
6510064,-143.6,-2.1,105.4
6510089,-142.0,-2.3,105.4
6510114,-139.6,-2.4,105.2
6510139,-137.6,-2.4,105.2
6510164,-136.1,-2.4,105.1
6510189,-134.6,-2.5,104.9
6510214,-133.2,-2.6,104.6
6510239,-131.7,-2.7,104.3
6510264,-130.1,-2.7,103.9
6510289,-128.5,-2.8,103.2
6510314,-126.8,-2.9,102.6
6510339,-125.0,-3.0,102.0
6510364,-123.2,-3.0,101.3
6510389,-121.4,-2.9,100.5
6510414,-119.7,-2.7,100.0
6510439,-117.9,-2.4,99.4
6510464,-116.2,-2.2,98.8
6510489,-114.5,-1.9,98.5
6510514,-113.0,-1.5,98.0
6510539,-111.5,-1.0,97.6
6510564,-110.1,-0.6,97.3
6510589,-107.5,0.2,97.1
6510614,-105.7,0.5,96.9
6510639,-104.5,0.7,96.8
6510664,-103.3,0.9,96.6
6510689,-102.1,1.3,96.5
6510714,-101.0,1.7,96.5
6510739,-100.0,2.0,96.3
6510764,-99.1,2.3,96.2
6510789,-98.2,2.6,96.1
6510814,-97.4,2.8,95.8
6510839,-96.5,3.0,95.9
6510864,-95.7,3.1,95.9
6510889,-95.0,3.3,95.9
6510914,-94.3,3.4,96.1
6510939,-93.7,3.4,96.3
6510964,-93.1,3.4,96.6
6510989,-92.5,3.4,96.8
