Timestamp,Yaw,Pitch,Roll
372064,-141.8,-0.0,0.0
372089,-141.8,-0.0,0.0
372114,-141.8,-0.0,-0.1
372139,-141.2,-0.2,7.9
372164,-140.8,-0.4,15.2
372189,-140.3,-0.5,22.5
372214,-139.6,-0.7,29.6
372239,-138.9,-0.9,36.6
372264,-138.2,-0.9,43.2
372289,-137.6,-1.0,49.6
372314,-136.9,-1.0,55.7
372339,-136.2,-1.1,61.1
372364,-135.6,-1.2,66.0
372389,-135.0,-1.2,70.6
372414,-134.2,-1.2,74.8
372439,-133.6,-1.0,78.5
372464,-133.0,-1.0,81.7
372489,-132.3,-0.9,84.5
372514,-131.7,-0.8,87.0
372539,-131.1,-0.8,89.3
372564,-130.5,-0.7,91.4
372589,-129.9,-0.6,93.1
372614,-129.3,-0.6,94.6
372639,-128.7,-0.5,96.0
372664,-128.1,-0.4,97.1
372689,-127.7,-0.4,98.3
372714,-127.2,-0.4,99.3
372739,-126.7,-0.4,100.1
372764,-126.2,-0.3,100.8
372789,-125.7,-0.3,101.3
372814,-125.2,-0.2,101.9
372839,-124.8,-0.2,102.3
372864,-124.3,-0.2,102.7
372889,-123.9,-0.2,102.9
372914,-123.5,-0.2,103.3
372939,-123.1,-0.1,103.5
372964,-122.7,-0.0,103.8
372989,-122.2,0.0,103.9
373014,-122.0,0.0,103.9
373039,-121.6,0.1,104.1
373064,-121.3,0.1,104.3
373089,-120.9,0.2,104.5
373114,-120.6,0.2,104.6
373139,-120.0,0.2,104.6
373164,-119.5,0.1,104.7
373189,-119.3,0.1,104.8
373214,-118.9,0.2,104.8
373239,-118.7,0.1,104.9
373264,-118.5,0.1,104.9
373289,-118.3,0.0,105.0
373314,-118.0,-0.0,105.0
373339,-117.9,-0.1,105.2
373364,-117.6,-0.2,105.3
373389,-117.5,-0.1,105.1
373414,-117.5,-0.1,105.1
373439,-117.2,-0.2,105.4
373464,-117.1,-0.1,105.4
373489,-117.1,-0.1,105.4
373514,-117.0,-0.1,105.3
373539,-116.8,-0.1,105.3
373564,-116.6,-0.1,105.5
373589,-116.5,0.0,105.7
373614,-116.3,0.0,105.7
373639,-116.3,0.0,105.7
373664,-116.1,0.1,105.7
373689,-115.9,0.1,105.9
373714,-115.8,-0.0,106.0
373739,-115.7,-0.0,106.0
373764,-115.6,0.0,106.1
373789,-115.6,-0.0,106.1
373814,-115.4,-0.1,106.1
373839,-115.3,-0.1,106.2
373864,-115.1,-0.1,106.1
373889,-115.0,-0.2,106.0
373914,-114.9,-0.2,106.0
373939,-114.8,-0.2,105.9
373964,-114.7,-0.3,105.9
373989,-114.5,-0.4,106.0
374014,-114.4,-0.3,105.9
374039,-114.3,-0.3,105.7
374064,-114.1,-0.3,105.5
374089,-114.0,-0.3,105.5
374114,-113.9,-0.4,105.7
374139,-113.8,-0.4,105.9
374164,-113.8,-0.3,105.3
374189,-113.8,-0.2,105.1
374214,-113.7,-0.2,105.1
374239,-113.6,-0.3,105.2
374264,-113.6,-0.4,105.0
374289,-113.6,-0.4,105.1
374314,-113.5,-0.4,105.2
374339,-113.4,-0.4,105.3
374364,-113.3,-0.4,105.3
374389,-113.2,-0.4,105.3
374414,-113.1,-0.4,105.3
374439,-113.1,-0.3,105.1
374464,-113.0,-0.4,105.3
374489,-112.9,-0.3,105.2
374514,-112.8,-0.3,105.3
374539,-112.8,-0.3,105.2
374564,-112.7,-0.2,105.1
374589,-112.6,-0.2,105.0
374614,-112.4,-0.2,105.0
374639,-112.3,-0.2,104.8
374664,-112.2,-0.2,104.9
374689,-112.1,-0.2,104.9
374714,-112.0,-0.2,104.9
374739,-112.0,-0.1,104.8
374764,-111.9,-0.1,104.8
374789,-111.8,-0.1,104.9
374814,-111.8,-0.1,104.9
374839,-111.7,-0.1,104.9
374864,-111.6,-0.1,104.9
374889,-111.6,-0.1,104.8
374914,-111.6,-0.1,104.8
374939,-111.6,-0.1,104.9
374964,-111.6,-0.1,104.8
374989,-111.5,-0.1,104.9
375014,-111.4,-0.2,104.9
375039,-111.4,-0.3,104.9
375064,-111.5,-0.2,105.0
375089,-111.5,-0.3,105.0
375114,-111.4,-0.3,105.2
375139,-111.5,-0.3,105.2
375164,-111.2,-0.4,105.3
375189,-111.3,-0.5,105.3
375214,-111.2,-0.5,105.3
375239,-111.2,-0.5,105.3
375264,-111.1,-0.5,105.2
375289,-111.0,-0.6,105.2
375314,-111.0,-0.6,105.2
375339,-110.9,-0.6,105.2
375364,-110.8,-0.5,105.1
375389,-110.7,-0.4,105.1
375414,-110.7,-0.3,105.1
375439,-110.7,-0.3,105.2
375464,-110.7,-0.3,105.4
375489,-110.6,-0.3,105.3
375514,-110.6,-0.2,105.3
375539,-110.5,-0.2,105.1
375564,-110.6,-0.2,105.1
375589,-110.6,-0.2,105.2
375614,-110.5,-0.2,105.3
375639,-110.6,-0.2,105.4
375664,-110.6,-0.3,105.4
375689,-110.6,-0.4,105.5
375714,-110.6,-0.4,105.6
375739,-110.7,-0.4,105.6
375764,-110.7,-0.4,105.7
375789,-110.7,-0.4,105.6
375814,-110.7,-0.4,105.6
375839,-110.7,-0.4,105.6
375864,-110.7,-0.4,105.6
375889,-110.7,-0.4,105.4
375914,-110.6,-0.4,105.5
375939,-110.6,-0.3,105.4
375964,-110.6,-0.3,105.2
375989,-110.6,-0.3,105.4
376014,-110.5,-0.3,105.4
376039,-110.5,-0.3,105.3
376064,-110.6,-0.2,105.1
376089,-110.7,-0.2,105.2
376114,-110.6,-0.2,105.2
376139,-110.6,-0.2,105.1
376164,-110.7,-0.1,104.8
376189,-110.6,-0.1,104.8
376214,-110.6,-0.1,104.8
376239,-110.6,-0.2,104.6
376264,-110.6,-0.2,104.5
376289,-110.5,-0.2,104.5
376314,-110.4,-0.3,104.4
376339,-110.3,-0.3,104.4
376364,-110.3,-0.2,104.3
376389,-110.4,-0.2,104.5
376414,-110.6,-0.1,104.9
376439,-110.7,0.1,105.2
376464,-110.9,0.4,105.8
376489,-111.2,0.5,106.2
376514,-111.6,0.9,106.3
376539,-111.9,1.0,106.3
376564,-112.2,1.0,106.4
376589,-112.4,0.8,106.9
376614,-112.4,0.4,106.9
376639,-112.5,0.1,106.4
376664,-112.6,-0.4,106.3
376689,-113.0,-1.0,106.9
376714,-113.5,-1.4,108.2
376739,-113.5,-2.4,110.0
376764,-112.5,-3.9,110.9
376789,-111.5,-4.2,111.2
376814,-110.9,-4.1,109.1
376839,-110.9,-3.6,106.4
376864,-111.0,-3.1,105.2
376889,-110.8,-2.8,105.2
376914,-110.3,-2.3,105.6
376939,-109.7,-1.5,105.9
376964,-109.3,-0.7,105.7
376989,-108.8,-0.1,105.6
377014,-108.7,0.7,105.8
377039,-108.7,1.2,106.2
377064,-108.7,1.4,106.6
377089,-109.0,1.5,106.2
377114,-109.1,1.4,105.0
377139,-109.3,1.3,104.3
377164,-109.9,1.1,104.7
377189,-110.3,1.0,104.7
377214,-110.7,-0.5,104.5
377239,-110.7,-1.2,105.3
377264,-110.5,-2.0,105.5
377289,-109.8,-2.3,105.5
377314,-109.1,-2.1,105.7
377339,-108.7,-1.9,104.6
377364,-108.2,-1.7,103.5
377389,-107.6,-1.3,103.5
377414,-107.0,-0.7,104.0
377439,-106.6,-0.2,105.7
377464,-106.1,0.6,107.5
377489,-106.1,1.2,108.2
377514,-106.1,1.7,108.3
377539,-106.2,1.9,107.5
377564,-106.3,1.9,106.7
377589,-106.5,1.8,106.6
377614,-106.9,1.7,106.8
377639,-107.2,1.6,106.8
377664,-107.5,1.2,106.8
377689,-107.6,0.8,106.9
377714,-107.4,0.4,106.9
377739,-107.3,0.2,107.1
377764,-107.2,-0.1,107.2
377789,-106.8,-0.3,106.7
377814,-106.5,-0.3,105.9
377839,-106.4,-0.2,105.7
377864,-106.3,-0.1,106.1
377889,-106.0,-0.1,106.8
377914,-105.7,0.2,107.9
377939,-105.4,0.5,108.2
377964,-105.0,0.7,107.9
377989,-105.0,1.1,107.4
378014,-105.0,1.3,106.8
378039,-105.3,1.3,106.7
378064,-105.5,1.3,106.7
378089,-105.6,1.2,106.6
378114,-105.6,1.1,106.2
378139,-105.6,1.1,106.1
378164,-105.7,1.3,106.2
378189,-105.9,1.3,106.3
378214,-106.2,1.7,106.8
378239,-106.2,1.5,106.7
378264,-106.4,1.6,106.8
378289,-106.6,1.7,106.9
378314,-106.8,1.7,106.8
378339,-106.9,1.4,106.9
378364,-106.8,0.9,106.8
378389,-106.6,0.6,106.6
378414,-106.4,0.5,106.6
378439,-106.2,0.4,106.6
378464,-106.2,0.2,106.3
378489,-106.0,0.2,105.7
378514,-106.0,0.4,105.3
378539,-106.1,0.6,105.3
378564,-106.2,0.8,105.6
378589,-106.4,1.2,105.5
378614,-106.8,1.6,105.3
378639,-107.2,1.9,104.7
378664,-107.6,2.3,104.2
378689,-108.1,2.4,103.8
378714,-108.4,2.3,103.5
378739,-108.4,1.9,103.3
378764,-108.4,1.5,103.0
378789,-108.6,1.1,102.7
378814,-108.7,0.8,102.6
378839,-108.6,0.6,102.1
378864,-108.6,0.4,101.9
378889,-108.5,0.3,101.9
378914,-108.5,0.2,102.3
378939,-108.5,0.2,102.8
378964,-108.4,0.4,102.8
378989,-108.3,0.8,102.7
379014,-108.1,1.2,102.8
379039,-108.1,1.4,102.7
379064,-108.1,1.4,102.9
379089,-108.2,1.3,103.1
379114,-108.2,1.4,103.3
379139,-108.2,1.5,103.5
379164,-108.1,1.6,103.4
379189,-108.2,1.7,103.2
379214,-108.2,1.7,103.2
379239,-108.0,1.6,103.2
379264,-107.6,1.4,102.9
379289,-107.4,1.7,102.3
379314,-107.5,1.9,102.0
379339,-107.8,2.2,102.0
379364,-108.1,2.4,101.8
379389,-108.5,2.6,101.7
379414,-108.8,2.5,101.9
379439,-109.2,2.4,101.8
379464,-109.7,2.3,101.4
379489,-110.1,2.2,101.3
379514,-110.2,1.2,100.7
379539,-109.8,0.1,100.3
379564,-109.3,-0.5,100.3
379589,-108.9,-0.6,100.2
379614,-108.7,-0.2,100.3
379639,-108.7,0.4,100.5
379664,-108.6,0.8,100.3
379689,-108.7,1.1,100.1
379714,-108.8,1.2,100.0
379739,-109.1,1.1,100.1
379764,-109.2,0.9,100.1
379789,-109.0,0.7,100.1
379814,-108.7,0.6,100.0
379839,-108.5,0.6,99.8
379864,-108.2,0.7,99.8
379889,-108.2,0.8,100.2
379914,-108.3,1.0,100.8
379939,-108.0,0.9,101.1
379964,-107.8,1.0,100.5
379989,-108.3,1.2,100.2
380014,-108.7,1.1,100.3
380039,-108.8,1.0,100.6
380064,-108.8,0.8,100.8
380089,-108.6,0.4,101.1
380114,-108.3,0.3,101.2
380139,-108.2,0.4,101.0
380164,-108.2,0.5,100.9
380189,-108.1,0.5,101.1
380214,-107.9,0.6,101.0
380239,-107.7,0.6,100.7
380264,-107.5,0.6,100.6
380289,-107.6,0.7,100.7
380314,-107.0,0.8,101.0
380339,-106.9,0.9,101.1
380364,-105.4,1.6,100.9
380389,-103.7,0.3,102.2
380414,-103.9,0.1,101.7
380439,-104.6,0.5,100.9
380464,-104.9,0.6,100.6
380489,-105.4,1.0,100.7
380514,-106.0,1.0,100.8
380539,-106.9,1.1,101.1
380564,-106.7,1.4,100.8
380589,-106.5,1.4,100.6
380614,-106.8,1.6,101.4
380639,-107.3,1.5,101.6
380664,-107.3,1.4,101.0
380689,-107.4,1.4,100.6
380714,-107.6,1.4,100.6
380739,-107.6,1.2,100.9
380764,-107.7,1.1,101.0
